#,Character name (may be an animal too),Location,y,x,Gender,Story where s/he mentioned,Nickname (if applicable),Employed or unemployed,"Type of employment (e.g. peasant, rent-paying peasant, landowner etc)",y_to,x_to,Relation to another character,Sentiment,Quotation,Family status,Children,Relation to spouse,Quotation,Relation to people,Quotations (always a complete sentence),People's relation to the character,Quotations,Relations to animals ,Quotations,Relations to nature,Quotations,Hunger issue,Water issue
1,Victor Alexandrych,,53.893117,34.599978,M,Meeting,,E,Valet,53.823117,34.89978,Akulina,destructive; pity,"""But you're without any education, so you've got to listen when people tell you things"" (270)",,,,,,,,,,,,,,
2,Fedya,"Chernsk County; Chernsky District, Tula Oblast",53.0494444,36.3818042,M,Bezhin Lea,,E,Peasant,54.7195776,33.7974159,other boys,destructive,"As the son of a rich peasant, it was incumbent upon him to  play the role of leader (though for his own part he talked little, as if for fear of losing face).",,None,,,,,,,Caring,"During hot summer weather it is customary in our region to drive the horses out at night to graze in the field, for by day the flies would give them no peace. Driving the horses out before nightfall and back again at first light is a great treat for the peasant boys.",,,,Yes
3,Ilyusha,,54.1195776,34.272,M,Bezhin Lea,,E,peasant; glazer in the paper factory,,,,,,,None,,,,,,,Caring,"As he sat down he let a hand fall on the shaggy neck of one of the dogs and the delighted animal kept its head still for a long while as it directed sideward looks of grateful pride at Pavlusha. [...] 'Cor, that one splashed,' he added, turning his face towards the river, 'likely it was a pike""",Negative; fearful; spiritual,"This time it seemed that someone gave a series of long, loud shouts on the very horizon and someone else answered him from the forest with sharp high-pitched laughter and a thin, hissing whistle which sped across the river. The boys looked at each other and shuddered. 'The power of the holy cross be with us!' whispered Ilyusha.",,Yes
4,Kostya,"Kolotovka, Kaluga Oblast",54.2195776,33.9584159,M,Bezhin Lea,,E,Peasant ,,,,,,,None,,,,,,,Caring,"During hot summer weather it is customary in our region to drive the horses out at night to graze in the field, for by day the flies would give them no peace. Driving the horses out before nightfall and back again at first light is a great treat for the peasant boys.",Negative; fearful; spiritual," And you saw them, did you, those wolves?' asked the cowardly  Kostya. (ALSO STORY OF GAVRILA AND THE WATER FAIRY)",,Yes
5,Pavlusha,"Chernsk County; Chernsky District, Tula Oblast",53.4494444,36.3798042,M,Bezhin Lea,,E,Peasant ,54.7195776,33.7974159,other boys,constructive,"The narrator had hardly uttered this last sound when the dogs sprang up and whit convulsive barks dashed from the fire, disappearing into the night. The boys were terrified. Vanya even jumped out from beneath his mat. Shouting, Pavlusha followed in hot pursuit of the dogs.",,None,,,,,,,Caring,"During hot summer weather it is customary in our region to drive the horses out at night to graze in the field, for by day the flies would give them no peace. Driving the horses out before nightfall and back again at first light is a great treat for the peasant boys.",Negative; fearful; spiritual,"What's there? What is it?' the boys asked. 'Nothing,' Pavlusha answered waving away the horse. 'The dogs caught a scent. I thought,' he added in a casual tone of voice, his chest heaving rapidly, 'it might have been a wolf.' [...] 'There's plenty of them round here,' answered Pavlusha, 'but they're only on the prowl in the winter.'",,Yes
6,Pyotr Petrovich,,54.9195776,33.7974159,M,Bezhin Lea,,E,Land Owner,52.9743298,35.9373091,,destructive,,,,,,constructive,"Never in my life, it seemed, had I been in such waste places: not a single light burned anywhere, not a single sound could be heard ",Respected,I told the boys that I had lost my way and sat down among them. They asked me where I was from and fell silent for a while in awe of me.,Dependent,"Where on earth am I?' I repeated again out loud, stopping for a third time and looking questioningly at my yellow English piebald, Diana, who was by far the most intelligent of all four-legged creatures. but this most intelligent of four-legged creatures only wagged her small tail, dejectedly blinked her tired little eyes and offered me no practical help.",Positive; fearful; appreciative,"one low hillock followed another, field stretched after endless field and bushes suddenly rose out of the earth under my very ose. I went on walking and was on the point of finding a place to lie down until morning, when suddenly I reached the edge of a fearful abyss. [...] The immaculate dark sky rose solemnly and endlessly high above us in all its mysterious magnificence. My lungs melted with the sweet pleasure of inhaling that special, languorous and fresh perfume which is the scent of a Russian summer night.",,
7,Vanya,"Kolotovka, Kaluga Oblast",54.7195776,34,M,Bezhin Lea,,E,Peasant ,,,,,,,None,,,,,,,Caring,"During hot summer weather it is customary in our region to drive the horses out at night to graze in the field, for by day the flies would give them no peace. Driving the horses out before nightfall and back again at first light is a great treat for the peasant boys.",,,Yes,Yes
8,Annushka,"Yudino Settlement; Yudinovo, Bryansk Oblast",52.562187,32.276508,F,Kasyan of the Beautiful Lands,,E,Peasant; sells mushrooms,51.962187,32.3988508,Relative,respectful,"She’s a smart girl, there’s no denying; a good girl; and as for the old man, she’s simply the apple of his eye; she’s a good girl.",Unmarried,,,,constructive,"She’s a smart girl, there’s no denying; a good girl; and as for the old man, she’s simply the apple of his eye; she’s a good girl.",Love,"She’s a smart girl, there’s no denying; a good girl; and as for the old man, she’s simply the apple of his eye; she’s a good girl.",,,Neutral; utilitarian,"‘Show me, show me. . . . (She slipped the basket off her arm and half- lifted the big burdock leaf which covered up the mushrooms.) ‘Ah!’ said Kassyan, bending down over the basket; ‘what splendid ones! Well done, Annushka!’",No,Yes
9,Erofei,,49.2287909,35.5716423,M,Kasyan of the Beautiful Lands,,E,servant; coachman,49.034,35.7216423,Coachman to Pyotr Petrovich,destructive,My coachman did not vouchsafe me a reply.,,,,,Destructive,"‘Cure people! . . . Well, how should he? A fine sort of doctor! Though he did cure me of the king’s evil, I must own. . . . But how can he? He’s a stupid fellow, that’s what he is,’ he added, after a moment’s pause.",,,Predatory,"Now, then!’ he added aloud, turning to the right trace-horse; ‘I know you, you humbug.’ (And he gave him a cut with the whip.) ‘That horse has learnt to shirk his work entirely, and yet he was a willing beast once. Now, then — look alive!’",Negative; fearful,"Now, then!’ he added aloud, turning to the right trace-horse; ‘I know you, you humbug.’ (And he gave him a cut with the whip.) ‘That horse has learnt to shirk his work entirely, and yet he was a willing beast once. Now, then — look alive!’ ",Yes,Yes
10,Kasyan,"Yudino Settlement; Yudinovo, Bryansk Oblast",51.962187,32.3988508,M,Kasyan of the Beautiful Lands,The flea,U,Selling nightingales; doctor,50.2587909,33.5716423,The Guardian of Pyotr Petrovich,respectful,"She’s a smart girl, there’s no denying; a good girl; and as for the old man, she’s simply the apple of his eye; she’s a good girl.",Unmarried,Annushka,,,constructive,"‘Cure people! . . . Well, how should he? A fine sort of doctor! Though he did cure me of the king’s evil, I must own.",fascination,"Well, so ever since he has been wandering about like a lost sheep. And then, he’s so strange; there’s no understanding him.",Caring,"‘You shoot the fowls of heaven, I suppose? . . . the wild things of the woods? . . . And is it not a sin to kill God’s birds, to shed the innocent blood?’",Positive; spiritual,"Those birds are provided by God for man, but the corncrake is a wild bird of the woods: and not he alone; many they are, the wild things of the woods and the fields, and the wild things of the rivers and marshes and moors, flying on high or creeping below; and a sin it is to slay them: let them live their allotted life upon the earth. ",No,Yes
